"division","state","years","sex","measure","participants"
"New South Wales","Werriwa","25-29","female","Eligible participants",5242
"New South Wales","Werriwa","25-29","female","Participation rate (%)",69.7
"New South Wales","Whitlam","25-29","female","Total participants",3123
"New South Wales","Whitlam","25-29","female","Eligible participants",4226
"New South Wales","Whitlam","25-29","female","Participation rate (%)",73.9
"Victoria","Aston","25-29","female","Total participants",3156
"Victoria","Aston","25-29","female","Eligible participants",3921
"Victoria","Aston","25-29","female","Participation rate (%)",80.5
"Victoria","Ballarat","25-29","female","Total participants",3436
"Victoria","Ballarat","25-29","female","Eligible participants",4466
"Victoria","Ballarat","25-29","female","Participation rate (%)",76.9
"Victoria","Batman","25-29","female","Total participants",4988
"Victoria","Batman","25-29","female","Eligible participants",5813
"Victoria","Batman","25-29","female","Participation rate (%)",85.8
"Victoria","Bendigo","25-29","female","Total participants",3271
"Victoria","Bendigo","25-29","female","Eligible participants",4188
"Victoria","Bendigo","25-29","female","Participation rate (%)",78.1
"Victoria","Bruce","25-29","female","Total participants",2412
"Victoria","Bruce","25-29","female","Eligible participants",3287
"Victoria","Bruce","25-29","female","Participation rate (%)",73.4
"Victoria","Calwell","25-29","female","Total participants",3713
"Victoria","Calwell","25-29","female","Eligible participants",4933
"Victoria","Calwell","25-29","female","Participation rate (%)",75.3
"Victoria","Casey","25-29","female","Total participants",3668
"Victoria","Casey","25-29","female","Eligible participants",4388
"Victoria","Casey","25-29","female","Participation rate (%)",83.6
"Victoria","Chisholm","25-29","female","Total participants",2793
"Victoria","Chisholm","25-29","female","Eligible participants",3448
"Victoria","Chisholm","25-29","female","Participation rate (%)",81
"Victoria","Corangamite","25-29","female","Total participants",3371
"Victoria","Corangamite","25-29","female","Eligible participants",4044
"Victoria","Corangamite","25-29","female","Participation rate (%)",83.4
"Victoria","Corio","25-29","female","Total participants",3753
"Victoria","Corio","25-29","female","Eligible participants",4679
"Victoria","Corio","25-29","female","Participation rate (%)",80.2
"Victoria","Deakin","25-29","female","Total participants",2899
"Victoria","Deakin","25-29","female","Eligible participants",3513
"Victoria","Deakin","25-29","female","Participation rate (%)",82.5
"Victoria","Dunkley","25-29","female","Total participants",3161
"Victoria","Dunkley","25-29","female","Eligible participants",3994
"Victoria","Dunkley","25-29","female","Participation rate (%)",79.1
"Victoria","Flinders","25-29","female","Total participants",3048
"Victoria","Flinders","25-29","female","Eligible participants",3888
"Victoria","Flinders","25-29","female","Participation rate (%)",78.4
"Victoria","Gellibrand","25-29","female","Total participants",4061
"Victoria","Gellibrand","25-29","female","Eligible participants",4911
"Victoria","Gellibrand","25-29","female","Participation rate (%)",82.7
"Victoria","Gippsland","25-29","female","Total participants",2697
"Victoria","Gippsland","25-29","female","Eligible participants",3734
"Victoria","Gippsland","25-29","female","Participation rate (%)",72.2
"Victoria","Goldstein","25-29","female","Total participants",2793
"Victoria","Goldstein","25-29","female","Eligible participants",3246
"Victoria","Goldstein","25-29","female","Participation rate (%)",86
"Victoria","Gorton","25-29","female","Total participants",4151
"Victoria","Gorton","25-29","female","Eligible participants",5641
"Victoria","Gorton","25-29","female","Participation rate (%)",73.6
"Victoria","Higgins","25-29","female","Total participants",5006
"Victoria","Higgins","25-29","female","Eligible participants",5888
"Victoria","Higgins","25-29","female","Participation rate (%)",85
"Victoria","Holt","25-29","female","Total participants",4141
"Victoria","Holt","25-29","female","Eligible participants",5713
"Victoria","Holt","25-29","female","Participation rate (%)",72.5
"Victoria","Hotham","25-29","female","Total participants",2614
"Victoria","Hotham","25-29","female","Eligible participants",3330
"Victoria","Hotham","25-29","female","Participation rate (%)",78.5
"Victoria","Indi","25-29","female","Total participants",2521
"Victoria","Indi","25-29","female","Eligible participants",3375
"Victoria","Indi","25-29","female","Participation rate (%)",74.7
"Victoria","Isaacs","25-29","female","Total participants",3248
"Victoria","Isaacs","25-29","female","Eligible participants",4137
"Victoria","Isaacs","25-29","female","Participation rate (%)",78.5
"Victoria","Jagajaga","25-29","female","Total participants",3301
"Victoria","Jagajaga","25-29","female","Eligible participants",3889
"Victoria","Jagajaga","25-29","female","Participation rate (%)",84.9
"Victoria","Kooyong","25-29","female","Total participants",3671
"Victoria","Kooyong","25-29","female","Eligible participants",4288
"Victoria","Kooyong","25-29","female","Participation rate (%)",85.6
"Victoria","Lalor","25-29","female","Total participants",4359
"Victoria","Lalor","25-29","female","Eligible participants",5890
"Victoria","Lalor","25-29","female","Participation rate (%)",74
"Victoria","La Trobe","25-29","female","Total participants",3458
"Victoria","La Trobe","25-29","female","Eligible participants",4306
"Victoria","La Trobe","25-29","female","Participation rate (%)",80.3
"Victoria","Mallee","25-29","female","Total participants",2464
"Victoria","Mallee","25-29","female","Eligible participants",3523
"Victoria","Mallee","25-29","female","Participation rate (%)",69.9
"Victoria","Maribyrnong","25-29","female","Total participants",3735
"Victoria","Maribyrnong","25-29","female","Eligible participants",4771
"Victoria","Maribyrnong","25-29","female","Participation rate (%)",78.3
"Victoria","McEwen","25-29","female","Total participants",4965
"Victoria","McEwen","25-29","female","Eligible participants",6427
"Victoria","McEwen","25-29","female","Participation rate (%)",77.3
"Victoria","McMillan","25-29","female","Total participants",3617
"Victoria","McMillan","25-29","female","Eligible participants",4825
"Victoria","McMillan","25-29","female","Participation rate (%)",75
"Victoria","Melbourne","25-29","female","Total participants",8180
"Victoria","Melbourne","25-29","female","Eligible participants",9483
"Victoria","Melbourne","25-29","female","Participation rate (%)",86.3
"Victoria","Melbourne Ports","25-29","female","Total participants",4869
"Victoria","Melbourne Ports","25-29","female","Eligible participants",5931
"Victoria","Melbourne Ports","25-29","female","Participation rate (%)",82.1
"Victoria","Menzies","25-29","female","Total participants",2554
"Victoria","Menzies","25-29","female","Eligible participants",3122
"Victoria","Menzies","25-29","female","Participation rate (%)",81.8
"Victoria","Murray","25-29","female","Total participants",2495
"Victoria","Murray","25-29","female","Eligible participants",3506
"Victoria","Murray","25-29","female","Participation rate (%)",71.2
"Victoria","Scullin","25-29","female","Total participants",3785
"Victoria","Scullin","25-29","female","Eligible participants",4879
"Victoria","Scullin","25-29","female","Participation rate (%)",77.6
"Victoria","Wannon","25-29","female","Total participants",2248
"Victoria","Wannon","25-29","female","Eligible participants",3037
"Victoria","Wannon","25-29","female","Participation rate (%)",74
"Victoria","Wills","25-29","female","Total participants",5904
"Victoria","Wills","25-29","female","Eligible participants",6846
"Victoria","Wills","25-29","female","Participation rate (%)",86.2
"Queensland","Blair","25-29","female","Total participants",3487
"Queensland","Blair","25-29","female","Eligible participants",4965
"Queensland","Blair","25-29","female","Participation rate (%)",70.2
"Queensland","Bonner","25-29","female","Total participants",2920
"Queensland","Bonner","25-29","female","Eligible participants",3704
"Queensland","Bonner","25-29","female","Participation rate (%)",78.8
"Queensland","Bowman","25-29","female","Total participants",2795
"Queensland","Bowman","25-29","female","Eligible participants",3645
"Queensland","Bowman","25-29","female","Participation rate (%)",76.7
"Queensland","Brisbane","25-29","female","Total participants",5831
"Queensland","Brisbane","25-29","female","Eligible participants",7059
"Queensland","Brisbane","25-29","female","Participation rate (%)",82.6
"Queensland","Capricornia","25-29","female","Total participants",2855
"Queensland","Capricornia","25-29","female","Eligible participants",4202
"Queensland","Capricornia","25-29","female","Participation rate (%)",67.9
"Queensland","Dawson","25-29","female","Total participants",2784
"Queensland","Dawson","25-29","female","Eligible participants",4201
"Queensland","Dawson","25-29","female","Participation rate (%)",66.3
"Queensland","Dickson","25-29","female","Total participants",3101
"Queensland","Dickson","25-29","female","Eligible participants",4037
"Queensland","Dickson","25-29","female","Participation rate (%)",76.8
"Queensland","Fadden","25-29","female","Total participants",3112
"Queensland","Fadden","25-29","female","Eligible participants",4563
"Queensland","Fadden","25-29","female","Participation rate (%)",68.2
"Queensland","Fairfax","25-29","female","Total participants",2825
"Queensland","Fairfax","25-29","female","Eligible participants",3780
"Queensland","Fairfax","25-29","female","Participation rate (%)",74.7
"Queensland","Fisher","25-29","female","Total participants",2347
"Queensland","Fisher","25-29","female","Eligible participants",3250
"Queensland","Fisher","25-29","female","Participation rate (%)",72.2
"Queensland","Flynn","25-29","female","Total participants",2765
"Queensland","Flynn","25-29","female","Eligible participants",4161
"Queensland","Flynn","25-29","female","Participation rate (%)",66.5
"Queensland","Forde","25-29","female","Total participants",3344
"Queensland","Forde","25-29","female","Eligible participants",4799
"Queensland","Forde","25-29","female","Participation rate (%)",69.7
"Queensland","Griffith","25-29","female","Total participants",5356
"Queensland","Griffith","25-29","female","Eligible participants",6503
"Queensland","Griffith","25-29","female","Participation rate (%)",82.4
"Queensland","Groom","25-29","female","Total participants",3162
"Queensland","Groom","25-29","female","Eligible participants",4403
"Queensland","Groom","25-29","female","Participation rate (%)",71.8
"Queensland","Herbert","25-29","female","Total participants",3564
"Queensland","Herbert","25-29","female","Eligible participants",5447
"Queensland","Herbert","25-29","female","Participation rate (%)",65.4
"Queensland","Hinkler","25-29","female","Total participants",1934
"Queensland","Hinkler","25-29","female","Eligible participants",2996
"Queensland","Hinkler","25-29","female","Participation rate (%)",64.6
"Queensland","Kennedy","25-29","female","Total participants",2181
"Queensland","Kennedy","25-29","female","Eligible participants",3764
"Queensland","Kennedy","25-29","female","Participation rate (%)",57.9
"Queensland","Leichhardt","25-29","female","Total participants",2728
"Queensland","Leichhardt","25-29","female","Eligible participants",4784
"Queensland","Leichhardt","25-29","female","Participation rate (%)",57
"Queensland","Lilley","25-29","female","Total participants",3963
"Queensland","Lilley","25-29","female","Eligible participants",4956
"Queensland","Lilley","25-29","female","Participation rate (%)",80
"Queensland","Longman","25-29","female","Total participants",3077
"Queensland","Longman","25-29","female","Eligible participants",4383
"Queensland","Longman","25-29","female","Participation rate (%)",70.2
"Queensland","Maranoa","25-29","female","Total participants",2420
"Queensland","Maranoa","25-29","female","Eligible participants",3567
"Queensland","Maranoa","25-29","female","Participation rate (%)",67.8
"Queensland","McPherson","25-29","female","Total participants",3086
"Queensland","McPherson","25-29","female","Eligible participants",4234
"Queensland","McPherson","25-29","female","Participation rate (%)",72.9
"Queensland","Moncrieff","25-29","female","Total participants",3130
"Queensland","Moncrieff","25-29","female","Eligible participants",4488
"Queensland","Moncrieff","25-29","female","Participation rate (%)",69.7
"Queensland","Moreton","25-29","female","Total participants",3253
"Queensland","Moreton","25-29","female","Eligible participants",4158
"Queensland","Moreton","25-29","female","Participation rate (%)",78.2
"Queensland","Oxley","25-29","female","Total participants",3220
"Queensland","Oxley","25-29","female","Eligible participants",4425
"Queensland","Oxley","25-29","female","Participation rate (%)",72.8
"Queensland","Petrie","25-29","female","Total participants",3125
"Queensland","Petrie","25-29","female","Eligible participants",4364
"Queensland","Petrie","25-29","female","Participation rate (%)",71.6
"Queensland","Rankin","25-29","female","Total participants",3161
"Queensland","Rankin","25-29","female","Eligible participants",4664
"Queensland","Rankin","25-29","female","Participation rate (%)",67.8
"Queensland","Ryan","25-29","female","Total participants",3513
"Queensland","Ryan","25-29","female","Eligible participants",4180
"Queensland","Ryan","25-29","female","Participation rate (%)",84
"Queensland","Wide Bay","25-29","female","Total participants",1782
"Queensland","Wide Bay","25-29","female","Eligible participants",2635
"Queensland","Wide Bay","25-29","female","Participation rate (%)",67.6
"Queensland","Wright","25-29","female","Total participants",2662
"Queensland","Wright","25-29","female","Eligible participants",3667
"Queensland","Wright","25-29","female","Participation rate (%)",72.6
"South Australia","Adelaide","25-29","female","Total participants",4004
"South Australia","Adelaide","25-29","female","Eligible participants",4897
"South Australia","Adelaide","25-29","female","Participation rate (%)",81.8
"South Australia","Barker","25-29","female","Total participants",2159
"South Australia","Barker","25-29","female","Eligible participants",3232
"South Australia","Barker","25-29","female","Participation rate (%)",66.8
"South Australia","Boothby","25-29","female","Total participants",2934
"South Australia","Boothby","25-29","female","Eligible participants",3573
"South Australia","Boothby","25-29","female","Participation rate (%)",82.1
"South Australia","Grey","25-29","female","Total participants",2293
"South Australia","Grey","25-29","female","Eligible participants",3497
"South Australia","Grey","25-29","female","Participation rate (%)",65.6
"South Australia","Hindmarsh","25-29","female","Total participants",3460
"South Australia","Hindmarsh","25-29","female","Eligible participants",4267
"South Australia","Hindmarsh","25-29","female","Participation rate (%)",81.1
"South Australia","Kingston","25-29","female","Total participants",3475
"South Australia","Kingston","25-29","female","Eligible participants",4437
"South Australia","Kingston","25-29","female","Participation rate (%)",78.3
"South Australia","Makin","25-29","female","Total participants",3112
"South Australia","Makin","25-29","female","Eligible participants",4110
"South Australia","Makin","25-29","female","Participation rate (%)",75.7
"South Australia","Mayo","25-29","female","Total participants",2184
"South Australia","Mayo","25-29","female","Eligible participants",2759
"South Australia","Mayo","25-29","female","Participation rate (%)",79.2
"South Australia","Port Adelaide","25-29","female","Total participants",3554
"South Australia","Port Adelaide","25-29","female","Eligible participants",4836
"South Australia","Port Adelaide","25-29","female","Participation rate (%)",73.5
"South Australia","Sturt","25-29","female","Total participants",2738
"South Australia","Sturt","25-29","female","Eligible participants",3495
"South Australia","Sturt","25-29","female","Participation rate (%)",78.3
"South Australia","Wakefield","25-29","female","Total participants",3514
"South Australia","Wakefield","25-29","female","Eligible participants",5072
"South Australia","Wakefield","25-29","female","Participation rate (%)",69.3
"Western Australia","Brand","25-29","female","Total participants",3618
"Western Australia","Brand","25-29","female","Eligible participants",5063
"Western Australia","Brand","25-29","female","Participation rate (%)",71.5
"Western Australia","Burt","25-29","female","Total participants",3342
"Western Australia","Burt","25-29","female","Eligible participants",4585
"Western Australia","Burt","25-29","female","Participation rate (%)",72.9
"Western Australia","Canning","25-29","female","Total participants",2692
"Western Australia","Canning","25-29","female","Eligible participants",3764
"Western Australia","Canning","25-29","female","Participation rate (%)",71.5
"Western Australia","Cowan","25-29","female","Total participants",2883
"Western Australia","Cowan","25-29","female","Eligible participants",3861
"Western Australia","Cowan","25-29","female","Participation rate (%)",74.7
"Western Australia","Curtin","25-29","female","Total participants",3370
"Western Australia","Curtin","25-29","female","Eligible participants",4059
"Western Australia","Curtin","25-29","female","Participation rate (%)",83
"Western Australia","Durack","25-29","female","Total participants",2722
"Western Australia","Durack","25-29","female","Eligible participants",4317
"Western Australia","Durack","25-29","female","Participation rate (%)",63.1
"Western Australia","Forrest","25-29","female","Total participants",2507
"Western Australia","Forrest","25-29","female","Eligible participants",3455
"Western Australia","Forrest","25-29","female","Participation rate (%)",72.6
"Western Australia","Fremantle","25-29","female","Total participants",3499
"Western Australia","Fremantle","25-29","female","Eligible participants",4412
"Western Australia","Fremantle","25-29","female","Participation rate (%)",79.3
"Western Australia","Hasluck","25-29","female","Total participants",2647
"Western Australia","Hasluck","25-29","female","Eligible participants",3523
"Western Australia","Hasluck","25-29","female","Participation rate (%)",75.1
"Western Australia","Moore","25-29","female","Total participants",2682
"Western Australia","Moore","25-29","female","Eligible participants",3320
"Western Australia","Moore","25-29","female","Participation rate (%)",80.8
"Western Australia","O'Connor","25-29","female","Total participants",2328
"Western Australia","O'Connor","25-29","female","Eligible participants",3499
"Western Australia","O'Connor","25-29","female","Participation rate (%)",66.5
"Western Australia","Pearce","25-29","female","Total participants",3950
"Western Australia","Pearce","25-29","female","Eligible participants",5435
"Western Australia","Pearce","25-29","female","Participation rate (%)",72.7
"Western Australia","Perth","25-29","female","Total participants",4008
"Western Australia","Perth","25-29","female","Eligible participants",4936
"Western Australia","Perth","25-29","female","Participation rate (%)",81.2
"Western Australia","Stirling","25-29","female","Total participants",3132
"Western Australia","Stirling","25-29","female","Eligible participants",4156
"Western Australia","Stirling","25-29","female","Participation rate (%)",75.4
"Western Australia","Swan","25-29","female","Total participants",3438
"Western Australia","Swan","25-29","female","Eligible participants",4566
"Western Australia","Swan","25-29","female","Participation rate (%)",75.3
"Western Australia","Tangney","25-29","female","Total participants",2388
"Western Australia","Tangney","25-29","female","Eligible participants",2937
"Western Australia","Tangney","25-29","female","Participation rate (%)",81.3
"Tasmania","Bass","25-29","female","Total participants",1968
"Tasmania","Bass","25-29","female","Eligible participants",2749
"Tasmania","Bass","25-29","female","Participation rate (%)",71.6
"Tasmania","Braddon","25-29","female","Total participants",1611
"Tasmania","Braddon","25-29","female","Eligible participants",2510
"Tasmania","Braddon","25-29","female","Participation rate (%)",64.2
"Tasmania","Denison","25-29","female","Total participants",2392
"Tasmania","Denison","25-29","female","Eligible participants",2996
"Tasmania","Denison","25-29","female","Participation rate (%)",79.8
"Tasmania","Franklin","25-29","female","Total participants",2009
"Tasmania","Franklin","25-29","female","Eligible participants",2608
"Tasmania","Franklin","25-29","female","Participation rate (%)",77
"Tasmania","Lyons","25-29","female","Total participants",1632
"Tasmania","Lyons","25-29","female","Eligible participants",2397
"Tasmania","Lyons","25-29","female","Participation rate (%)",68.1
"Northern Territory","Lingiari","25-29","female","Total participants",1827
"Northern Territory","Lingiari","25-29","female","Eligible participants",4035
"Northern Territory","Lingiari","25-29","female","Participation rate (%)",45.3
"Northern Territory","Solomon","25-29","female","Total participants",2319
"Northern Territory","Solomon","25-29","female","Eligible participants",3647
"Northern Territory","Solomon","25-29","female","Participation rate (%)",63.6
"Australian Capital Territory","Canberra","25-29","female","Total participants",5343
"Australian Capital Territory","Canberra","25-29","female","Eligible participants",6464
"Australian Capital Territory","Canberra","25-29","female","Participation rate (%)",82.7
"Australian Capital Territory","Fenner","25-29","female","Total participants",5864
"Australian Capital Territory","Fenner","25-29","female","Eligible participants",7233
"Australian Capital Territory","Fenner","25-29","female","Participation rate (%)",81.1
"New South Wales","Banks","30-34","female","Total participants",3018
"New South Wales","Banks","30-34","female","Eligible participants",4070
"New South Wales","Banks","30-34","female","Participation rate (%)",74.2
"New South Wales","Barton","30-34","female","Total participants",3853
"New South Wales","Barton","30-34","female","Eligible participants",5273
"New South Wales","Barton","30-34","female","Participation rate (%)",73.1
"New South Wales","Bennelong","30-34","female","Total participants",3338
"New South Wales","Bennelong","30-34","female","Eligible participants",4420
"New South Wales","Bennelong","30-34","female","Participation rate (%)",75.5
"New South Wales","Berowra","30-34","female","Total participants",2401
"New South Wales","Berowra","30-34","female","Eligible participants",2977
"New South Wales","Berowra","30-34","female","Participation rate (%)",80.7
"New South Wales","Blaxland","30-34","female","Total participants",3401
"New South Wales","Blaxland","30-34","female","Eligible participants",4843
"New South Wales","Blaxland","30-34","female","Participation rate (%)",70.2
"New South Wales","Bradfield","30-34","female","Total participants",2481
"New South Wales","Bradfield","30-34","female","Eligible participants",3265
"New South Wales","Bradfield","30-34","female","Participation rate (%)",76
"New South Wales","Calare","30-34","female","Total participants",3218
"New South Wales","Calare","30-34","female","Eligible participants",4447
"New South Wales","Calare","30-34","female","Participation rate (%)",72.4
"New South Wales","Chifley","30-34","female","Total participants",3662
"New South Wales","Chifley","30-34","female","Eligible participants",5437
"New South Wales","Chifley","30-34","female","Participation rate (%)",67.4
"New South Wales","Cook","30-34","female","Total participants",3137
"New South Wales","Cook","30-34","female","Eligible participants",3938
"New South Wales","Cook","30-34","female","Participation rate (%)",79.7
"New South Wales","Cowper","30-34","female","Total participants",2557
"New South Wales","Cowper","30-34","female","Eligible participants",3669
"New South Wales","Cowper","30-34","female","Participation rate (%)",69.7
"New South Wales","Cunningham","30-34","female","Total participants",3489
"New South Wales","Cunningham","30-34","female","Eligible participants",4352
"New South Wales","Cunningham","30-34","female","Participation rate (%)",80.2
"New South Wales","Dobell","30-34","female","Total participants",3266
"New South Wales","Dobell","30-34","female","Eligible participants",4334
"New South Wales","Dobell","30-34","female","Participation rate (%)",75.4
"New South Wales","Eden-Monaro","30-34","female","Total participants",2909
"New South Wales","Eden-Monaro","30-34","female","Eligible participants",3873
"New South Wales","Eden-Monaro","30-34","female","Participation rate (%)",75.1
"New South Wales","Farrer","30-34","female","Total participants",2628
"New South Wales","Farrer","30-34","female","Eligible participants",3755
"New South Wales","Farrer","30-34","female","Participation rate (%)",70
"New South Wales","Fowler","30-34","female","Total participants",2888
"New South Wales","Fowler","30-34","female","Eligible participants",4353
"New South Wales","Fowler","30-34","female","Participation rate (%)",66.3
"New South Wales","Gilmore","30-34","female","Total participants",2409
"New South Wales","Gilmore","30-34","female","Eligible participants",3345
"New South Wales","Gilmore","30-34","female","Participation rate (%)",72
"New South Wales","Grayndler","30-34","female","Total participants",5423
"New South Wales","Grayndler","30-34","female","Eligible participants",6302
"New South Wales","Grayndler","30-34","female","Participation rate (%)",86.1
"New South Wales","Greenway","30-34","female","Total participants",4052
"New South Wales","Greenway","30-34","female","Eligible participants",5719
"New South Wales","Greenway","30-34","female","Participation rate (%)",70.9
"New South Wales","Hughes","30-34","female","Total participants",3527
"New South Wales","Hughes","30-34","female","Eligible participants",4288
"New South Wales","Hughes","30-34","female","Participation rate (%)",82.3
"New South Wales","Hume","30-34","female","Total participants",3463
"New South Wales","Hume","30-34","female","Eligible participants",4710
"New South Wales","Hume","30-34","female","Participation rate (%)",73.5
"New South Wales","Hunter","30-34","female","Total participants",3553
"New South Wales","Hunter","30-34","female","Eligible participants",4798
"New South Wales","Hunter","30-34","female","Participation rate (%)",74.1
"New South Wales","Kingsford Smith","30-34","female","Total participants",4194
"New South Wales","Kingsford Smith","30-34","female","Eligible participants",5369
"New South Wales","Kingsford Smith","30-34","female","Participation rate (%)",78.1
"New South Wales","Lindsay","30-34","female","Total participants",4201
"New South Wales","Lindsay","30-34","female","Eligible participants",5938
"New South Wales","Lindsay","30-34","female","Participation rate (%)",70.7
"New South Wales","Lyne","30-34","female","Total participants",2167
"New South Wales","Lyne","30-34","female","Eligible participants",2993
"New South Wales","Lyne","30-34","female","Participation rate (%)",72.4
"New South Wales","Macarthur","30-34","female","Total participants",4061
"New South Wales","Macarthur","30-34","female","Eligible participants",5814
"New South Wales","Macarthur","30-34","female","Participation rate (%)",69.8
"New South Wales","Mackellar","30-34","female","Total participants",2910
"New South Wales","Mackellar","30-34","female","Eligible participants",3612
"New South Wales","Mackellar","30-34","female","Participation rate (%)",80.6
"New South Wales","Macquarie","30-34","female","Total participants",3036
"New South Wales","Macquarie","30-34","female","Eligible participants",3811
"New South Wales","Macquarie","30-34","female","Participation rate (%)",79.7
"New South Wales","McMahon","30-34","female","Total participants",3538
"New South Wales","McMahon","30-34","female","Eligible participants",4941
"New South Wales","McMahon","30-34","female","Participation rate (%)",71.6
"New South Wales","Mitchell","30-34","female","Total participants",2950
"New South Wales","Mitchell","30-34","female","Eligible participants",3914
"New South Wales","Mitchell","30-34","female","Participation rate (%)",75.4
"New South Wales","Newcastle","30-34","female","Total participants",4094
"New South Wales","Newcastle","30-34","female","Eligible participants",4988
"New South Wales","Newcastle","30-34","female","Participation rate (%)",82.1
"New South Wales","New England","30-34","female","Total participants",2678
"New South Wales","New England","30-34","female","Eligible participants",3950
"New South Wales","New England","30-34","female","Participation rate (%)",67.8
"New South Wales","North Sydney","30-34","female","Total participants",4394
"New South Wales","North Sydney","30-34","female","Eligible participants",5412
"New South Wales","North Sydney","30-34","female","Participation rate (%)",81.2
"New South Wales","Page","30-34","female","Total participants",2549
"New South Wales","Page","30-34","female","Eligible participants",3610
"New South Wales","Page","30-34","female","Participation rate (%)",70.6
"New South Wales","Parkes","30-34","female","Total participants",2884
"New South Wales","Parkes","30-34","female","Eligible participants",4353
"New South Wales","Parkes","30-34","female","Participation rate (%)",66.3
"New South Wales","Parramatta","30-34","female","Total participants",3749
"New South Wales","Parramatta","30-34","female","Eligible participants",5488
"New South Wales","Parramatta","30-34","female","Participation rate (%)",68.3
"New South Wales","Paterson","30-34","female","Total participants",3449
"New South Wales","Paterson","30-34","female","Eligible participants",4707
"New South Wales","Paterson","30-34","female","Participation rate (%)",73.3
"New South Wales","Reid","30-34","female","Total participants",3830
"New South Wales","Reid","30-34","female","Eligible participants",5337
"New South Wales","Reid","30-34","female","Participation rate (%)",71.8
"New South Wales","Richmond","30-34","female","Total participants",2733
"New South Wales","Richmond","30-34","female","Eligible participants",3641
"New South Wales","Richmond","30-34","female","Participation rate (%)",75.1
"New South Wales","Riverina","30-34","female","Total participants",2919
"New South Wales","Riverina","30-34","female","Eligible participants",4086
"New South Wales","Riverina","30-34","female","Participation rate (%)",71.4
"New South Wales","Robertson","30-34","female","Total participants",2878
"New South Wales","Robertson","30-34","female","Eligible participants",3672
"New South Wales","Robertson","30-34","female","Participation rate (%)",78.4
"New South Wales","Shortland","30-34","female","Total participants",3195
"New South Wales","Shortland","30-34","female","Eligible participants",4038
"New South Wales","Shortland","30-34","female","Participation rate (%)",79.1
"New South Wales","Sydney","30-34","female","Total participants",6485
"New South Wales","Sydney","30-34","female","Eligible participants",8046
"New South Wales","Sydney","30-34","female","Participation rate (%)",80.6
"New South Wales","Warringah","30-34","female","Total participants",3643
"New South Wales","Warringah","30-34","female","Eligible participants",4392
"New South Wales","Warringah","30-34","female","Participation rate (%)",82.9
"New South Wales","Watson","30-34","female","Total participants",3631
"New South Wales","Watson","30-34","female","Eligible participants",4920
"New South Wales","Watson","30-34","female","Participation rate (%)",73.8
"New South Wales","Wentworth","30-34","female","Total participants",4964
"New South Wales","Wentworth","30-34","female","Eligible participants",6099
"New South Wales","Wentworth","30-34","female","Participation rate (%)",81.4
"New South Wales","Werriwa","30-34","female","Total participants",3833
"New South Wales","Werriwa","30-34","female","Eligible participants",5522
"New South Wales","Werriwa","30-34","female","Participation rate (%)",69.4
"New South Wales","Whitlam","30-34","female","Total participants",3217
"New South Wales","Whitlam","30-34","female","Eligible participants",4299
"New South Wales","Whitlam","30-34","female","Participation rate (%)",74.8
"Victoria","Aston","30-34","female","Total participants",2874
"Victoria","Aston","30-34","female","Eligible participants",3593
"Victoria","Aston","30-34","female","Participation rate (%)",80
"Victoria","Ballarat","30-34","female","Total participants",3458
"Victoria","Ballarat","30-34","female","Eligible participants",4412
"Victoria","Ballarat","30-34","female","Participation rate (%)",78.4
"Victoria","Batman","30-34","female","Total participants",5169
"Victoria","Batman","30-34","female","Eligible participants",6010
"Victoria","Batman","30-34","female","Participation rate (%)",86
"Victoria","Bendigo","30-34","female","Total participants",3306
"Victoria","Bendigo","30-34","female","Eligible participants",4164
"Victoria","Bendigo","30-34","female","Participation rate (%)",79.4
"Victoria","Bruce","30-34","female","Total participants",2320
"Victoria","Bruce","30-34","female","Eligible participants",3301
"Victoria","Bruce","30-34","female","Participation rate (%)",70.3
"Victoria","Calwell","30-34","female","Total participants",3546
"Victoria","Calwell","30-34","female","Eligible participants",4774
"Victoria","Calwell","30-34","female","Participation rate (%)",74.3
"Victoria","Casey","30-34","female","Total participants",3770
"Victoria","Casey","30-34","female","Eligible participants",4576
"Victoria","Casey","30-34","female","Participation rate (%)",82.4
"Victoria","Chisholm","30-34","female","Total participants",2583
"Victoria","Chisholm","30-34","female","Eligible participants",3394
"Victoria","Chisholm","30-34","female","Participation rate (%)",76.1
"Victoria","Corangamite","30-34","female","Total participants",3831
"Victoria","Corangamite","30-34","female","Eligible participants",4540
"Victoria","Corangamite","30-34","female","Participation rate (%)",84.4
"Victoria","Corio","30-34","female","Total participants",3628
"Victoria","Corio","30-34","female","Eligible participants",4409
"Victoria","Corio","30-34","female","Participation rate (%)",82.3
"Victoria","Deakin","30-34","female","Total participants",3308
"Victoria","Deakin","30-34","female","Eligible participants",3998
"Victoria","Deakin","30-34","female","Participation rate (%)",82.7
"Victoria","Dunkley","30-34","female","Total participants",3371
"Victoria","Dunkley","30-34","female","Eligible participants",4222
"Victoria","Dunkley","30-34","female","Participation rate (%)",79.8
"Victoria","Flinders","30-34","female","Total participants",3123
"Victoria","Flinders","30-34","female","Eligible participants",3991
"Victoria","Flinders","30-34","female","Participation rate (%)",78.3
"Victoria","Gellibrand","30-34","female","Total participants",4615
"Victoria","Gellibrand","30-34","female","Eligible participants",5548
"Victoria","Gellibrand","30-34","female","Participation rate (%)",83.2
"Victoria","Gippsland","30-34","female","Total participants",2811
"Victoria","Gippsland","30-34","female","Eligible participants",3724
